"Hips","下半身"
"L_ULeg","左足"
"L_LLeg","左ひざ"
"Left ankle","左足首"
"Left toe","左つま先ＩＫ"
"L_LLeg_Twist","左下腿ねじり"
"L_Skirt_Bside","左スカート後"
"L_Skirt_Fside","左スカート前"
"R_ULeg","右足"
"R_LLeg","右ひざ"
"Right ankle","右足首"
"Right toe","右つま先ＩＫ"
"R_LLeg_Twist","""右下腿ねじり"
"R_Skirt_Bside","右スカート後ろ"
"R_Skirt_Fside","右スカート前"
"Spine","全ての親"
"Chest","上半身"
"Backhood","背面フード"
"Left shoulder","左肩"
"L_UArm","左腕"
"L_FArm","左手首"
"L_FA_Twist","左前腕ねじり"
"Left wrist","左ひじ"
"L_1Finger01","左小指１"
"L_1Finger02","左小指２"
"L_1Finger03","左小指３"
"L_2Finger01","左薬指１"
"L_2Finger02","左薬指２"
"L_2Finger03","左薬指３"
"L_3Finger_Root","左3本指ルート"
"L_3Finger01","左中指１"
"L_3Finger02","左中指２"
"L_3Finger03","左中指３"
"L_4Finger01","左人指１"
"L_4Finger02","左人指２"
"L_4Finger03","左人指３"
"L_Sleeve_Root","左袖ルート"
"L_Sleeve_Root02","左袖ルート02"
"L_Thumb01","左親指０"
"L_Thumb02","左親指１"
"L_Thumb03","左親指２"
"L_Hood","左フード"
"L_UA_Twist","左上腕ねじり"
"Neck","首"
"Head","頭"
"Bangs","前髪"
"Hood_Front","フード前"
"L_Hair01","髪"
"L_Hair02","ツインテ"
"L_Hair03","ツインテ"
"L_Hood_Ear","左フード耳 "
"R_Hair01","髪"
"R_Hair02","ツインテ"
"R_Hair03","ツインテ"
"R_Hood_Ear","右フード耳"
"Right shoulder","右肩"
"R_UArm","右腕"
"R_FArm","右前腕"
"R_FA_Twist","右ひじ"
"Right wrist","右手首"
"R_1Finger01","右小指１"
"R_1Finger02","右小指２"
"R_1Finger03","右小指３"
"R_2Finger01","右薬指１"
"R_2Finger02","右薬指２"
"R_2Finger03","右薬指３"
"R_3Finger_Root","右3本指ルート"
"R_3Finger01","右中指１"
"R_3Finger02","右中指２"
"R_3Finger03","右中指３"
"R_4Finger01","右人指１"
"R_4Finger02","右人指２"
"R_4Finger03","右人指３"
"R_Sleeve_Root","右袖ルート"
"R_Sleeve_Root02","右袖ルート02"
"R_Thumb01","右親指０"
"R_Thumb02","右親指１"
"R_Thumb03","右親指２"
"R_Hood","右フード"
"R_UA_Twist","右上腕ねじり"
"Tail01","しっぽ01"
"Tail02","しっぽ02"
"Tail03","しっぽ03"
"Tail04","しっぽ04"
"Tail05","しっぽ05"
"Tail06","しっぽ06"
